id,genre,track_name,artist_name,valence,energy
0KpfYajJVVGgQ32Dby7e9i,acoustic,"Hey, Soul Sister",Train,0.768,0.885
6Zewjs7at1sPyc03lUoAHB,acoustic,Save Your Scissors,City and Colour,0.567,0.647
4E6cwWJWZw2zWf7VFbH7wf,acoustic,Love Song,Sara Bareilles,0.573,0.786
0EYKD5N0mldDeVTCzCfzqr,acoustic,Thrift Shop,Tyler Ward,0.472,0.533
2ds9vlk6o6BRCc2FAkmOvX,acoustic,Beat It,Fall Out Boy,0.841,0.936
7qUcqYzOtfZe65bednDxmz,acoustic,One Less Lonely Girl,Justin Bieber,0.728,0.75
2vO1wr5wIEHqQmY4jWbuhi,acoustic,Angel,Jack Johnson,0.357,0.0568
2qppEPX84bYQmgBjCeF8FO,acoustic,Love Is All,The Tallest Man On Earth,0.354,0.254
5Szn0p3DlnawyuhX8ULCg4,acoustic,Orange Sky,Alexi Murdoch,0.125,0.15
3Qf1X9wE43iXD8RLU4zlKR,acoustic,Wrecking Ball (feat. Diamond White),Boyce Avenue,0.184,0.317
6cOve1ZkbX5aUPtBLBPu7F,acoustic,Don't You Worry Child,Beth,0.432,0.18
7vcuTZAFyu0Z5dgMRLR0h0,acoustic,Such Great Heights,Iron & Wine,0.552,0.275
5mb6SzBnxv1ywFSH9V3uxd,acoustic,Delicate,Damien Rice,0.147,0.144
2xDDetMrYexhj1gKK634iC,acoustic,Don't You Worry Child,Kurt Hugo Schneider,0.287,0.386
7bcP9k51f1VNCaFUyZ3P5M,acoustic,Life for Rent,Dido,0.159,0.533
6J1sj9dcEM91H80NIz1Gpo,acoustic,Mrs. Robinson,Simon & Garfunkel,0.836,0.466
7z7fquRFQFXt4Dj7ouWETq,acoustic,Hey There Delilah,Plain White T's,0.304,0.373
4OfjX48ZacUS6Noi2KIXbS,acoustic,Rolling In The Deep (Acapella),Adele,0.476,0.142
7m2VsHmjyXZegtndWPgxOw,acoustic,Wonderwall,Ryan Adams,0.301,0.22
